[Header]
Application Name	LabSolutions
15,42400	4683
15,43467	4647
15,44533	4614
15,45600	4580
15,46667	4535
15,47733	4532
15,48800	4468
15,49867	4442
15,50933	4381
15,52000	4346
15,53067	4316
15,54133	4293
15,55200	4253
15,56267	4218
15,57333	4178
15,58400	4159
15,59467	4170
15,60533	4143
15,61600	4135
15,62667	4125
15,63733	4151
15,64800	4153
15,65867	4091
15,66933	4096
15,68000	4065
15,69067	4044
15,70133	4010
15,71200	4013
15,72267	3973
15,73333	3972
15,74400	3965
15,75467	3917
15,76533	3946
15,77600	3935
15,78667	3936
15,79733	3910
15,80800	3884
15,81867	3881
15,82933	3877
15,84000	3870
15,85067	3840
15,86133	3845
15,87200	3825
15,88267	3821
15,89333	3834
15,90400	3813
15,91467	3846
15,92533	3832
15,93600	3839
15,94667	3793
15,95733	3818
15,96800	3848
15,97867	3891
15,98933	3897
16,00000	3938
16,01067	3925
16,02133	3893
16,03200	3917
16,04267	3922
16,05333	3937
16,06400	3922
16,07467	3925
16,08533	3930
16,09600	3940
16,10667	3944
16,11733	3964
16,12800	3989
16,13867	3996
16,14933	4044
16,16000	4017
16,17067	4028
16,18133	4052
16,19200	4098
16,20267	4129
16,21333	4109
16,22400	4136
16,23467	4147
16,24533	4108
16,25600	4129
16,26667	4140
16,27733	4142
16,28800	4102
16,29867	4103
16,30933	4102
16,32000	4131
16,33067	4171
16,34133	4184
16,35200	4156
16,36267	4181
16,37333	4185
16,38400	4164
16,39467	4191
16,40533	4189
16,41600	4210
16,42667	4249
16,43733	4254
16,44800	4265
16,45867	4268
16,46933	4294
16,48000	4319
16,49067	4357
16,50133	4385
16,51200	4392
16,52267	4393
16,53333	4421
16,54400	4474
16,55467	4464
16,56533	4509
16,57600	4518
16,58667	4519
16,59733	4552
16,60800	4561
16,61867	4543
16,62933	4562
16,64000	4577
16,65067	4600
16,66133	4594
16,67200	4594
16,68267	4607
16,69333	4680
16,70400	4666
16,71467	4688
16,72533	4683
16,73600	4742
16,74667	4749
16,75733	4751
16,76800	4787
16,77867	4756
16,78933	4799
16,80000	4786
16,81067	4818
16,82133	4860
16,83200	4861
16,84267	4887
16,85333	4881
16,86400	4887
16,87467	4904
16,88533	4913
16,89600	4940
16,90667	4947
16,91733	4976
16,92800	5006
16,93867	5006
16,94933	5038
16,96000	5047
16,97067	5093
16,98133	5092
16,99200	5093
17,00267	5110
17,01333	5118
17,02400	5151
17,03467	5190
17,04533	5237
17,05600	5253
17,06667	5265
17,07733	5302
17,08800	5309
17,09867	5337
17,10933	5366
17,12000	5356
17,13067	5368
17,14133	5355
17,15200	5424
17,16267	5467
17,17333	5459
17,18400	5522
17,19467	5524
17,20533	5523
17,21600	5560
17,22667	5544
17,23733	5531
17,24800	5596
17,25867	5584
17,26933	5591
17,28000	5612
17,29067	5632
17,30133	5667
17,31200	5680
17,32267	5682
17,33333	5699
17,34400	5735
17,35467	5735
17,36533	5735
17,37600	5782
17,38667	5798
17,39733	5775
17,40800	5822
17,41867	5870
17,42933	5870
17,44000	5896
17,45067	5865
17,46133	5904
17,47200	5910
17,48267	5914
17,49333	5962
17,50400	5987
17,51467	5996
17,52533	6016
17,53600	6029
17,54667	6050
17,55733	6055
17,56800	6083
17,57867	6122
17,58933	6152
17,60000	6129
17,61067	6131
17,62133	6185
17,63200	6206
17,64267	6253
17,65333	6282
17,66400	6307
17,67467	6327
17,68533	6373
17,69600	6426
17,70667	6460
17,71733	6493
17,72800	6534
17,73867	6594
17,74933	6645
17,76000	6723
17,77067	6831
17,78133	6885
17,79200	6950
17,80267	7008
17,81333	7098
17,82400	7162
17,83467	7182
17,84533	7202
17,85600	7228
17,86667	7269
17,87733	7325
17,88800	7371
17,89867	7370
17,90933	7368
17,92000	7381
17,93067	7398
17,94133	7457
17,95200	7455
17,96267	7463
17,97333	7456
17,98400	7482
17,99467	7481
18,00533	7449
18,01600	7473
18,02667	7488
18,03733	7512
18,04800	7524
18,05867	7534
18,06933	7545
18,08000	7579
18,09067	7608
18,10133	7646
18,11200	7667
18,12267	7687
18,13333	7709
18,14400	7742
18,15467	7781
18,16533	7814
18,17600	7854
18,18667	7876
18,19733	7900
18,20800	7903
18,21867	7939
18,22933	7952
18,24000	7981
18,25067	7996
18,26133	7996
18,27200	8064
18,28267	8067
18,29333	8119
18,30400	8102
18,31467	8119
18,32533	8141
18,33600	8185
18,34667	8213
18,35733	8233
18,36800	8248
18,37867	8309
18,38933	8326
18,40000	8320
18,41067	8345
18,42133	8356
18,43200	8399
18,44267	8456
18,45333	8488
18,46400	8458
18,47467	8472
18,48533	8493
18,49600	8532
18,50667	8542
18,51733	8583
18,52800	8604
18,53867	8633
18,54933	8643
18,56000	8666
18,57067	8680
18,58133	8725
18,59200	8750
18,60267	8761
18,61333	8770
18,62400	8817
18,63467	8867
18,64533	8874
18,65600	8898
18,66667	8946
18,67733	8973
18,68800	8995
18,69867	8984
18,70933	9038
18,72000	9052
18,73067	9065
18,74133	9131
18,75200	9129
18,76267	9126
18,77333	9142
18,78400	9165
18,79467	9188
18,80533	9188
18,81600	9216
18,82667	9199
18,83733	9235
18,84800	9289
18,85867	9285
18,86933	9311
18,88000	9323
18,89067	9357
18,90133	9369
18,91200	9371
18,92267	9408
18,93333	9434
18,94400	9452
18,95467	9495
18,96533	9497
18,97600	9557
18,98667	9586
18,99733	9670
19,00800	9752
19,01867	9774
19,02933	9843
19,04000	9957
19,05067	9997
19,06133	10149
19,07200	10288
19,08267	10412
19,09333	10520
19,10400	10624
19,11467	10685
19,12533	10749
19,13600	10806
19,14667	10849
19,15733	10891
19,16800	10901
19,17867	10929
19,18933	10953
19,20000	10953
19,21067	10980
19,22133	10979
19,23200	10967
19,24267	10983
19,25333	10956
19,26400	10938
19,27467	10933
19,28533	10903
19,29600	10887
19,30667	10870
19,31733	10867
19,32800	10868
19,33867	10867
19,34933	10912
19,36000	10912
19,37067	10962
19,38133	11017
19,39200	11047
19,40267	11138
19,41333	11216
19,42400	11284
19,43467	11266
19,44533	11291
19,45600	11353
19,46667	11367
19,47733	11348
19,48800	11399
19,49867	11395
19,50933	11397
19,52000	11405
19,53067	11372
19,54133	11394
19,55200	11403
19,56267	11412
19,57333	11395
19,58400	11392
19,59467	11412
19,60533	11458
19,61600	11435
19,62667	11451
19,63733	11464
19,64800	11448
19,65867	11451
19,66933	11494
19,68000	11502
19,69067	11504
19,70133	11549
19,71200	11560
19,72267	11563
19,73333	11631
19,74400	11612
19,75467	11612
19,76533	11650
19,77600	11703
19,78667	11731
19,79733	11747
19,80800	11778
19,81867	11827
19,82933	11882
19,84000	11902
19,85067	11938
19,86133	11968
19,87200	11981
19,88267	12022
19,89333	12041
19,90400	12048
19,91467	12085
19,92533	12104
19,93600	12116
19,94667	12144
19,95733	12148
19,96800	12203
19,97867	12234
19,98933	12244
20,00000	12267
20,01067	12289
20,02133	12362
20,03200	12375
20,04267	12384
20,05333	12429
20,06400	12430
20,07467	12485
20,08533	12544
20,09600	12548
20,10667	12606
20,11733	12624
20,12800	12671
20,13867	12673
20,14933	12717
20,16000	12775
20,17067	12796
20,18133	12790
20,19200	12830
20,20267	12848
20,21333	12901
20,22400	12944
20,23467	12967
20,24533	13054
20,25600	13093
20,26667	13142
20,27733	13147
20,28800	13180
20,29867	13237
20,30933	13281
20,32000	13319
20,33067	13359
20,34133	13401
20,35200	13436
20,36267	13459
20,37333	13476
20,38400	13503
20,39467	13529
20,40533	13547
20,41600	13589
20,42667	13630
20,43733	13662
20,44800	13695
20,45867	13681
20,46933	13689
20,48000	13724
20,49067	13794
20,50133	13801
20,51200	13825
20,52267	13859
20,53333	13869
20,54400	13879
20,55467	13926
20,56533	13970
20,57600	14023
20,58667	14058
20,59733	14091
20,60800	14134
20,61867	14155
20,62933	14199
20,64000	14258
20,65067	14342
20,66133	14401
20,67200	14468
20,68267	14559
20,69333	14668
20,70400	14673
20,71467	14711
20,72533	14783
20,73600	14834
20,74667	14865
20,75733	14913
20,76800	14923
20,77867	14966
20,78933	15012
20,80000	15048
20,81067	15021
20,82133	15062
20,83200	15059
20,84267	15079
20,85333	15106
20,86400	15138
20,87467	15158
20,88533	15184
20,89600	15183
20,90667	15242
20,91733	15271
20,92800	15290
20,93867	15307
20,94933	15320
20,96000	15328
20,97067	15367
20,98133	15399
20,99200	15435
21,00267	15468
21,01333	15505
21,02400	15542
21,03467	15587
21,04533	15622
21,05600	15676
21,06667	15671
21,07733	15717
21,08800	15742
21,09867	15798
21,10933	15805
21,12000	15890
21,13067	15912
21,14133	15924
21,15200	15983
21,16267	16011
21,17333	16024
21,18400	16055
21,19467	16117
21,20533	16154
21,21600	16165
21,22667	16228
21,23733	16269
21,24800	16316
21,25867	16336
21,26933	16391
21,28000	16451
21,29067	16461
21,30133	16509
21,31200	16533
21,32267	16555
21,33333	16598
21,34400	16638
21,35467	16670
21,36533	16692
21,37600	16728
21,38667	16810
21,39733	16845
21,40800	16877
21,41867	16882
21,42933	16924
21,44000	16992
21,45067	17050
21,46133	17071
21,47200	17098
21,48267	17169
21,49333	17182
21,50400	17261
21,51467	17302
21,52533	17340
21,53600	17369
21,54667	17387
21,55733	17442
21,56800	17530
21,57867	17555
21,58933	17592
21,60000	17693
21,61067	17745
21,62133	17782
21,63200	17813
21,64267	17866
21,65333	17915
21,66400	17975
21,67467	17960
21,68533	18000
21,69600	18061
21,70667	18116
21,71733	18155
21,72800	18253
21,73867	18300
21,74933	18328
21,76000	18392
21,77067	18424
21,78133	18502
21,79200	18570
21,80267	18640
21,81333	18679
21,82400	18790
21,83467	18834
21,84533	18890
21,85600	18934
21,86667	19006
21,87733	19072
21,88800	19100
21,89867	19131
21,90933	19178
21,92000	19174
21,93067	19239
21,94133	19246
21,95200	19262
21,96267	19323
21,97333	19368
21,98400	19375
21,99467	19404
22,00533	19454
22,01600	19467
22,02667	19515
22,03733	19531
22,04800	19585
22,05867	19595
22,06933	19651
22,08000	19690
22,09067	19699
22,10133	19755
22,11200	19813
22,12267	19839
22,13333	19868
22,14400	19940
22,15467	19960
22,16533	19992
22,17600	20041
22,18667	20080
22,19733	20139
22,20800	20227
22,21867	20293
22,22933	20344
22,24000	20469
22,25067	20548
22,26133	20640
22,27200	20733
22,28267	20847
22,29333	20956
22,30400	21087
22,31467	21208
22,32533	21308
22,33600	21458
22,34667	21586
22,35733	21753
22,36800	21805
22,37867	21934
22,38933	22058
22,40000	22095
22,41067	22206
22,42133	22235
22,43200	22336
22,44267	22373
22,45333	22395
22,46400	22388
22,47467	22433
22,48533	22442
22,49600	22480
22,50667	22470
22,51733	22467
22,52800	22493
22,53867	22480
22,54933	22484
22,56000	22520
22,57067	22491
22,58133	22519
22,59200	22488
22,60267	22483
22,61333	22503
22,62400	22540
22,63467	22531
22,64533	22560
22,65600	22612
22,66667	22589
22,67733	22601
22,68800	22629
22,69867	22634
22,70933	22637
22,72000	22678
22,73067	22703
22,74133	22717
22,75200	22785
22,76267	22794
22,77333	22837
22,78400	22873
22,79467	22919
22,80533	22929
22,81600	22961
22,82667	22992
22,83733	23021
22,84800	23065
22,85867	23108
22,86933	23134
22,88000	23183
22,89067	23209
22,90133	23243
22,91200	23263
22,92267	23299
22,93333	23383
22,94400	23441
22,95467	23462
22,96533	23512
22,97600	23554
22,98667	23604
22,99733	23660
23,00800	23678
23,01867	23705
23,02933	23746
23,04000	23793
23,05067	23869
23,06133	23900
23,07200	23960
23,08267	24025
23,09333	24032
23,10400	24072
23,11467	24119
23,12533	24179
23,13600	24245
23,14667	24308
23,15733	24340
23,16800	24395
23,17867	24429
23,18933	24483
23,20000	24473
23,21067	24517
23,22133	24615
23,23200	24652
23,24267	24704
23,25333	24779
23,26400	24801
23,27467	24837
23,28533	24915
23,29600	24967
23,30667	24997
23,31733	25049
23,32800	25098
23,33867	25146
23,34933	25213
23,36000	25299
23,37067	25373
23,38133	25392
23,39200	25505
23,40267	25524
23,41333	25571
23,42400	25597
23,43467	25663
23,44533	25727
23,45600	25785
23,46667	25827
23,47733	25886
23,48800	25946
23,49867	25955
23,50933	26018
23,52000	26047
23,53067	26107
23,54133	26186
23,55200	26272
23,56267	26280
23,57333	26322
23,58400	26340
23,59467	26357
23,60533	26400
23,61600	26413
23,62667	26434
23,63733	26490
23,64800	26532
23,65867	26554
23,66933	26594
23,68000	26610
23,69067	26621
23,70133	26661
23,71200	26682
23,72267	26709
23,73333	26714
23,74400	26733
23,75467	26749
23,76533	26769
23,77600	26756
23,78667	26814
23,79733	26845
23,80800	26889
23,81867	26889
23,82933	26912
23,84000	26894
23,85067	26935
23,86133	26899
23,87200	26950
23,88267	26967
23,89333	26986
23,90400	27026
23,91467	27006
23,92533	27064
23,93600	27105
23,94667	27099
23,95733	27127
23,96800	27140
23,97867	27161
23,98933	27191
24,00000	27238
24,01067	27272
24,02133	27308
24,03200	27315
24,04267	27343
24,05333	27409
24,06400	27506
24,07467	27561
24,08533	27666
24,09600	27761
24,10667	27846
24,11733	27954
24,12800	28092
24,13867	28228
24,14933	28418
24,16000	28557
24,17067	28746
24,18133	29005
24,19200	29192
24,20267	29425
24,21333	29700
24,22400	29950
24,23467	30249
24,24533	30457
24,25600	30672
24,26667	30930
24,27733	31101
24,28800	31277
24,29867	31386
24,30933	31489
24,32000	31617
24,33067	31692
24,34133	31806
24,35200	31897
24,36267	31970
24,37333	32054
24,38400	32095
24,39467	32179
24,40533	32286
24,41600	32340
24,42667	32423
24,43733	32490
24,44800	32609
24,45867	32704
24,46933	32744
24,48000	32836
24,49067	32919
24,50133	33006
24,51200	33119
24,52267	33213
24,53333	33309
24,54400	33418
24,55467	33521
24,56533	33587
24,57600	33689
24,58667	33792
24,59733	33876
24,60800	33981
24,61867	34098
24,62933	34176
24,64000	34287
24,65067	34338
24,66133	34406
24,67200	34465
24,68267	34521
24,69333	34512
24,70400	34604
24,71467	34653
24,72533	34687
24,73600	34748
24,74667	34766
24,75733	34854
24,76800	34882
24,77867	34945
24,78933	34964
24,80000	34993
24,81067	35020
24,82133	35063
24,83200	35082
24,84267	35104
24,85333	35164
24,86400	35177
24,87467	35199
24,88533	35212
24,89600	35252
24,90667	35279
24,91733	35337
24,92800	35361
24,93867	35425
24,94933	35408
24,96000	35455
24,97067	35491
24,98133	35539
24,99200	35530
25,00267	35552
25,01333	35559
25,02400	35548
25,03467	35573
25,04533	35610
25,05600	35623
25,06667	35567
25,07733	35618
25,08800	35631
25,09867	35586
25,10933	35588
25,12000	35581
25,13067	35563
25,14133	35544
25,15200	35518
25,16267	35529
25,17333	35547
25,18400	35496
25,19467	35541
25,20533	35544
25,21600	35534
25,22667	35532
25,23733	35553
25,24800	35533
25,25867	35551
25,26933	35547
25,28000	35560
25,29067	35604
25,30133	35627
25,31200	35608
25,32267	35661
25,33333	35645
25,34400	35681
25,35467	35698
25,36533	35664
25,37600	35691
25,38667	35688
25,39733	35735
25,40800	35732
25,41867	35729
25,42933	35720
25,44000	35727
25,45067	35697
25,46133	35698
25,47200	35676
25,48267	35694
25,49333	35660
25,50400	35650
25,51467	35649
25,52533	35623
25,53600	35627
25,54667	35600
25,55733	35614
25,56800	35578
25,57867	35593
25,58933	35581
25,60000	35555
25,61067	35601
25,62133	35599
25,63200	35596
25,64267	35629
25,65333	35615
25,66400	35621
25,67467	35628
25,68533	35669
25,69600	35680
25,70667	35714
25,71733	35717
25,72800	35680
25,73867	35707
25,74933	35718
25,76000	35732
25,77067	35784
25,78133	35763
25,79200	35763
25,80267	35791
25,81333	35750
25,82400	35745
25,83467	35748
25,84533	35721
25,85600	35724
25,86667	35717
25,87733	35734
25,88800	35674
25,89867	35717
25,90933	35698
25,92000	35687
25,93067	35679
25,94133	35654
25,95200	35591
25,96267	35591
25,97333	35632
25,98400	35621
25,99467	35545
26,00533	35556
26,01600	35555
26,02667	35569
26,03733	35579
26,04800	35616
26,05867	35620
26,06933	35592
26,08000	35590
26,09067	35585
26,10133	35621
26,11200	35625
26,12267	35627
26,13333	35655
26,14400	35647
26,15467	35708
26,16533	35723
26,17600	35714
26,18667	35673
26,19733	35670
26,20800	35693
26,21867	35691
26,22933	35689
26,24000	35683
26,25067	35687
26,26133	35651
26,27200	35643
26,28267	35653
26,29333	35596
26,30400	35604
26,31467	35571
26,32533	35522
26,33600	35530
26,34667	35516
26,35733	35526
26,36800	35533
26,37867	35494
26,38933	35519
26,40000	35536
26,41067	35527
26,42133	35526
26,43200	35544
26,44267	35548
26,45333	35567
26,46400	35568
26,47467	35593
26,48533	35571
26,49600	35573
26,50667	35638
26,51733	35654
26,52800	35686
26,53867	35696
26,54933	35699
26,56000	35702
26,57067	35716
26,58133	35738
26,59200	35693
26,60267	35717
26,61333	35746
26,62400	35728
26,63467	35714
26,64533	35683
26,65600	35664
26,66667	35672
26,67733	35683
26,68800	35688
26,69867	35649
26,70933	35651
26,72000	35643
26,73067	35595
26,74133	35605
26,75200	35583
26,76267	35595
26,77333	35563
26,78400	35571
26,79467	35616
26,80533	35602
26,81600	35584
26,82667	35550
26,83733	35564
26,84800	35612
26,85867	35621
26,86933	35633
26,88000	35666
26,89067	35634
26,90133	35652
26,91200	35659
26,92267	35652
26,93333	35678
26,94400	35658
26,95467	35668
26,96533	35659
26,97600	35673
26,98667	35696
26,99733	35717
27,00800	35707
27,01867	35696
27,02933	35707
27,04000	35683
27,05067	35656
27,06133	35628
27,07200	35607
27,08267	35625
27,09333	35614
27,10400	35609
27,11467	35596
27,12533	35603
27,13600	35597
27,14667	35578
27,15733	35546
27,16800	35582
27,17867	35546
27,18933	35554
27,20000	35522
27,21067	35564
27,22133	35561
27,23200	35618
27,24267	35602
27,25333	35612
27,26400	35644
27,27467	35631
27,28533	35646
27,29600	35671
27,30667	35710
27,31733	35692
27,32800	35740
27,33867	35733
27,34933	35751
27,36000	35733
27,37067	35739
27,38133	35723
27,39200	35720
27,40267	35702
27,41333	35734
27,42400	35732
27,43467	35688
27,44533	35689
27,45600	35682
27,46667	35686
27,47733	35681
27,48800	35672
27,49867	35683
27,50933	35684
27,52000	35679
27,53067	35658
27,54133	35653
27,55200	35668
27,56267	35682
27,57333	35674
27,58400	35704
27,59467	35682
27,60533	35698
27,61600	35719
27,62667	35741
27,63733	35746
27,64800	35770
27,65867	35785
27,66933	35794
27,68000	35790
27,69067	35842
27,70133	35834
27,71200	35867
27,72267	35852
27,73333	35831
27,74400	35857
27,75467	35864
27,76533	35892
27,77600	35874
27,78667	35865
27,79733	35856
27,80800	35841
27,81867	35846
27,82933	35844
27,84000	35792
27,85067	35809
27,86133	35774
27,87200	35770
27,88267	35764
27,89333	35740
27,90400	35759
27,91467	35717
27,92533	35728
27,93600	35708
27,94667	35707
27,95733	35712
27,96800	35701
27,97867	35695
27,98933	35691
28,00000	35677
28,01067	35715
28,02133	35683
28,03200	35702
28,04267	35747
28,05333	35727
28,06400	35755
28,07467	35803
28,08533	35810
28,09600	35797
28,10667	35831
28,11733	35848
28,12800	35836
28,13867	35823
28,14933	35794
28,16000	35807
28,17067	35804
28,18133	35816
28,19200	35812
28,20267	35809
28,21333	35771
28,22400	35748
28,23467	35762
28,24533	35747
28,25600	35736
28,26667	35754
28,27733	35729
28,28800	35742
28,29867	35681
28,30933	35718
28,32000	35714
28,33067	35715
28,34133	35710
28,35200	35724
28,36267	35709
28,37333	35686
28,38400	35722
28,39467	35713
28,40533	35713
28,41600	35724
28,42667	35773
28,43733	35748
28,44800	35765
28,45867	35789
28,46933	35822
28,48000	35792
28,49067	35794
28,50133	35792
28,51200	35820
28,52267	35858
28,53333	35841
28,54400	35860
28,55467	35886
28,56533	35861
28,57600	35887
28,58667	35871
28,59733	35843
28,60800	35825
28,61867	35825
28,62933	35866
28,64000	35842
28,65067	35768
28,66133	35786
28,67200	35758
28,68267	35769
28,69333	35768
28,70400	35762
28,71467	35745
28,72533	35741
28,73600	35762
28,74667	35760
28,75733	35724
28,76800	35741
28,77867	35741
28,78933	35750
28,80000	35753
28,81067	35774
28,82133	35791
28,83200	35803
28,84267	35808
28,85333	35799
28,86400	35825
28,87467	35858
28,88533	35879
28,89600	35893
28,90667	35889
28,91733	35917
28,92800	35955
28,93867	35987
28,94933	36001
28,96000	36020
28,97067	36028
28,98133	36098
28,99200	36104
29,00267	36159
29,01333	36268
29,02400	36281
29,03467	36352
29,04533	36444
29,05600	36545
29,06667	36678
29,07733	36758
29,08800	36920
29,09867	37080
29,10933	37250
29,12000	37500
29,13067	37698
29,14133	37956
29,15200	38223
29,16267	38534
29,17333	38882
29,18400	39281
29,19467	39665
29,20533	40109
29,21600	40586
29,22667	41082
29,23733	41640
29,24800	42205
29,25867	42829
29,26933	43502
29,28000	44196
29,29067	44895
29,30133	45609
29,31200	46401
29,32267	47132
29,33333	47992
29,34400	48803
29,35467	49600
29,36533	50416
29,37600	51186
29,38667	51951
29,39733	52737
29,40800	53479
29,41867	54175
29,42933	54834
29,44000	55487
29,45067	56045
29,46133	56620
29,47200	57122
29,48267	57616
29,49333	58050
29,50400	58396
29,51467	58712
29,52533	58987
29,53600	59226
29,54667	59358
29,55733	59469
29,56800	59555
29,57867	59523
29,58933	59463
29,60000	59318
29,61067	59131
29,62133	58855
29,63200	58535
29,64267	58146
29,65333	57698
29,66400	57148
29,67467	56614
29,68533	55913
29,69600	55203
29,70667	54451
29,71733	53623
29,72800	52776
29,73867	51840
29,74933	50840
29,76000	49796
29,77067	48721
29,78133	47650
29,79200	46511
29,80267	45329
29,81333	44139
29,82400	42899
29,83467	41656
29,84533	40396
29,85600	39087
29,86667	37763
29,87733	36431
29,88800	35092
29,89867	33760
29,90933	32453
29,92000	31070
29,93067	29711
29,94133	28300
29,95200	26949
29,96267	25574
29,97333	24209
29,98400	22841
29,99467	21494
30,00533	20134
30,01600	18828


